id,timestamp,formatted_timestamp,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,total_volume,percent_sold,tax,margin,ROI,margin-volume,minVol
2,1770122700,2026-02-03 12:45:00+00:00,214.0,71309,212.0,47351,118660,39.90476993089499,4.0,-2.0,-0.943,-94702.0,47351
6,1770122700,2026-02-03 12:45:00+00:00,201083.0,1,,0,1,0.0,4022.0,,,,0
30,1770122700,2026-02-03 12:45:00+00:00,920.0,3,,0,3,0.0,18.0,,,,0
36,1770122700,2026-02-03 12:45:00+00:00,357.0,2,,0,2,0.0,7.0,,,,0
39,1770122700,2026-02-03 12:45:00+00:00,,0,5.0,1000,1000,100.0,0.0,,,,0
40,1770122700,2026-02-03 12:45:00+00:00,8.0,14324,,0,14324,0.0,0.0,,,,0
41,1770122700,2026-02-03 12:45:00+00:00,20.0,20000,,0,20000,0.0,0.0,,,,0
42,1770122700,2026-02-03 12:45:00+00:00,38.0,2000,,0,2000,0.0,1.0,,,,0
44,1770122700,2026-02-03 12:45:00+00:00,,0,319.0,12,12,100.0,0.0,,,,0
45,1770122700,2026-02-03 12:45:00+00:00,,0,20.0,3000,3000,100.0,0.0,,,,0
52,1770122700,2026-02-03 12:45:00+00:00,1.0,123046,,0,123046,0.0,0.0,,,,0
53,1770122700,2026-02-03 12:45:00+00:00,12.0,40295,,0,40295,0.0,0.0,,,,0
54,1770122700,2026-02-03 12:45:00+00:00,17.0,2,,0,2,0.0,0.0,,,,0
64,1770122700,2026-02-03 12:45:00+00:00,,0,90.0,374,374,100.0,0.0,,,,0
66,1770122700,2026-02-03 12:45:00+00:00,275.0,1499,266.0,3525,5024,70.16321656050955,6.0,3.0,1.128,10575.0,1499
68,1770122700,2026-02-03 12:45:00+00:00,259.0,500,,0,500,0.0,5.0,,,,0
70,1770122700,2026-02-03 12:45:00+00:00,1090.0,1202,,0,1202,0.0,22.0,,,,0
72,1770122700,2026-02-03 12:45:00+00:00,,0,740.0,1,1,100.0,0.0,,,,0
91,1770122700,2026-02-03 12:45:00+00:00,313.0,1048,313.0,100,1148,8.710801393728223,6.0,-6.0,-1.917,-600.0,100
95,1770122700,2026-02-03 12:45:00+00:00,245.0,106,245.0,1,107,0.9345794392523363,5.0,-5.0,-2.041,-5.0,1
97,1770122700,2026-02-03 12:45:00+00:00,630.0,725,,0,725,0.0,13.0,,,,0
99,1770122700,2026-02-03 12:45:00+00:00,6049.0,31,,0,31,0.0,121.0,,,,0
101,1770122700,2026-02-03 12:45:00+00:00,,0,3028.0,1,1,100.0,0.0,,,,0
103,1770122700,2026-02-03 12:45:00+00:00,2798.0,1083,,0,1083,0.0,56.0,,,,0
105,1770122700,2026-02-03 12:45:00+00:00,3217.0,300,,0,300,0.0,64.0,,,,0
107,1770122700,2026-02-03 12:45:00+00:00,3410.0,400,,0,400,0.0,68.0,,,,0
109,1770122700,2026-02-03 12:45:00+00:00,2817.0,500,2768.0,6342,6842,92.69219526454253,56.0,-7.0,-0.253,-44394.0,500
111,1770122700,2026-02-03 12:45:00+00:00,4299.0,50,,0,50,0.0,86.0,,,,0
113,1770122700,2026-02-03 12:45:00+00:00,80.0,2,78.0,9,11,81.81818181818183,2.0,0.0,0.0,0.0,2
115,1770122700,2026-02-03 12:45:00+00:00,,0,56.0,724,724,100.0,0.0,,,,0
117,1770122700,2026-02-03 12:45:00+00:00,,0,32.0,2,2,100.0,0.0,,,,0
119,1770122700,2026-02-03 12:45:00+00:00,,0,17.0,4,4,100.0,0.0,,,,0
121,1770122700,2026-02-03 12:45:00+00:00,,0,10.0,473,473,100.0,0.0,,,,0
123,1770122700,2026-02-03 12:45:00+00:00,,0,7.0,4,4,100.0,0.0,,,,0
125,1770122700,2026-02-03 12:45:00+00:00,,0,4.0,2,2,100.0,0.0,,,,0
139,1770122700,2026-02-03 12:45:00+00:00,,0,6080.0,34,34,100.0,0.0,,,,0
141,1770122700,2026-02-03 12:45:00+00:00,,0,3998.0,69,69,100.0,0.0,,,,0
143,1770122700,2026-02-03 12:45:00+00:00,,0,1999.0,7,7,100.0,0.0,,,,0
145,1770122700,2026-02-03 12:45:00+00:00,,0,2598.0,233,233,100.0,0.0,,,,0
147,1770122700,2026-02-03 12:45:00+00:00,,0,1720.0,1,1,100.0,0.0,,,,0
149,1770122700,2026-02-03 12:45:00+00:00,,0,846.0,6,6,100.0,0.0,,,,0
157,1770122700,2026-02-03 12:45:00+00:00,,0,3065.0,219,219,100.0,0.0,,,,0
161,1770122700,2026-02-03 12:45:00+00:00,,0,952.0,9,9,100.0,0.0,,,,0
163,1770122700,2026-02-03 12:45:00+00:00,,0,2877.0,1124,1124,100.0,0.0,,,,0
167,1770122700,2026-02-03 12:45:00+00:00,,0,881.0,3,3,100.0,0.0,,,,0
171,1770122700,2026-02-03 12:45:00+00:00,,0,1636.0,13,13,100.0,0.0,,,,0
173,1770122700,2026-02-03 12:45:00+00:00,,0,750.0,1,1,100.0,0.0,,,,0
175,1770122700,2026-02-03 12:45:00+00:00,,0,124.0,491,491,100.0,0.0,,,,0
177,1770122700,2026-02-03 12:45:00+00:00,,0,95.0,1,1,100.0,0.0,,,,0
185,1770122700,2026-02-03 12:45:00+00:00,,0,630.0,2,2,100.0,0.0,,,,0
187,1770122700,2026-02-03 12:45:00+00:00,,0,343.0,1,1,100.0,0.0,,,,0
199,1770122700,2026-02-03 12:45:00+00:00,470.0,85,461.0,2,87,2.2988505747126435,9.0,0.0,0.0,0.0,2
