id,timestamp,formatted_timestamp,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,total_volume,percent_sold,tax,margin,ROI,margin-volume,minVol
113,1770116400,2026-02-03 11:00:00+00:00,80.0,34,78.0,217,251,86.45418326693228,2.0,0.0,0.0,0.0,34
115,1770116400,2026-02-03 11:00:00+00:00,56.0,15,56.0,235,250,94.0,1.0,-1.0,-1.786,-235.0,15
117,1770116400,2026-02-03 11:00:00+00:00,,0,32.0,66,66,100.0,0.0,,,,0
119,1770116400,2026-02-03 11:00:00+00:00,17.0,1,17.0,35,36,97.22222222222221,0.0,0.0,0.0,0.0,1
121,1770116400,2026-02-03 11:00:00+00:00,8.0,400,9.0,2221,2621,84.73864937046929,0.0,-1.0,-11.111,-2221.0,400
123,1770116400,2026-02-03 11:00:00+00:00,20.0,1,8.0,3,4,75.0,0.0,12.0,150.0,36.0,1
127,1770116400,2026-02-03 11:00:00+00:00,,0,58.0,5,5,100.0,0.0,,,,0
131,1770116400,2026-02-03 11:00:00+00:00,,0,6.0,1,1,100.0,0.0,,,,0
133,1770116400,2026-02-03 11:00:00+00:00,440.0,3,340.0,430,433,99.30715935334872,9.0,91.0,26.765,39130.0,3
135,1770116400,2026-02-03 11:00:00+00:00,,0,311.0,2,2,100.0,0.0,,,,0
139,1770116400,2026-02-03 11:00:00+00:00,6133.0,472,6018.0,14477,14949,96.84259816710149,123.0,-8.0,-0.133,-115816.0,472
141,1770116400,2026-02-03 11:00:00+00:00,4134.0,3,3999.0,472,475,99.36842105263159,83.0,52.0,1.3,24544.0,3
143,1770116400,2026-02-03 11:00:00+00:00,,0,1999.0,223,223,100.0,0.0,,,,0
145,1770116400,2026-02-03 11:00:00+00:00,2639.0,7391,2598.0,3362,10753,31.265693294894447,53.0,-12.0,-0.462,-40344.0,3362
147,1770116400,2026-02-03 11:00:00+00:00,,0,1720.0,6,6,100.0,0.0,,,,0
149,1770116400,2026-02-03 11:00:00+00:00,1013.0,100,846.0,4,104,3.8461538461538463,20.0,147.0,17.376,588.0,4
151,1770116400,2026-02-03 11:00:00+00:00,37.0,4,,0,4,0.0,1.0,,,,0
157,1770116400,2026-02-03 11:00:00+00:00,,0,3025.0,6093,6093,100.0,0.0,,,,0
159,1770116400,2026-02-03 11:00:00+00:00,1960.0,10,1866.0,45,55,81.81818181818183,39.0,55.0,2.947,2475.0,10
161,1770116400,2026-02-03 11:00:00+00:00,,0,952.0,12,12,100.0,0.0,,,,0
163,1770116400,2026-02-03 11:00:00+00:00,2897.0,6,2862.0,1520,1526,99.60681520314549,58.0,-23.0,-0.804,-34960.0,6
165,1770116400,2026-02-03 11:00:00+00:00,,0,1760.0,1,1,100.0,0.0,,,,0
167,1770116400,2026-02-03 11:00:00+00:00,,0,881.0,1,1,100.0,0.0,,,,0
169,1770116400,2026-02-03 11:00:00+00:00,2476.0,1414,2433.0,3889,5303,73.33584763341506,50.0,-7.0,-0.288,-27223.0,1414
171,1770116400,2026-02-03 11:00:00+00:00,1900.0,1,1574.0,224,225,99.55555555555556,38.0,288.0,18.297,64512.0,1
173,1770116400,2026-02-03 11:00:00+00:00,783.0,31,750.0,71,102,69.6078431372549,16.0,17.0,2.267,1207.0,31
175,1770116400,2026-02-03 11:00:00+00:00,123.0,116,123.0,566,682,82.99120234604106,2.0,-2.0,-1.626,-1132.0,116
179,1770116400,2026-02-03 11:00:00+00:00,78.0,1,,0,1,0.0,2.0,,,,0
181,1770116400,2026-02-03 11:00:00+00:00,2082.0,10,1990.0,20,30,66.66666666666666,42.0,50.0,2.513,1000.0,10
183,1770116400,2026-02-03 11:00:00+00:00,,0,1365.0,50,50,100.0,0.0,,,,0
185,1770116400,2026-02-03 11:00:00+00:00,,0,630.0,2,2,100.0,0.0,,,,0
187,1770116400,2026-02-03 11:00:00+00:00,330.0,1,343.0,1956,1957,99.94890137966274,7.0,-20.0,-5.831,-39120.0,1
197,1770116400,2026-02-03 11:00:00+00:00,1148.0,1,,0,1,0.0,23.0,,,,0
199,1770116400,2026-02-03 11:00:00+00:00,480.0,787,462.0,3967,4754,83.4455195624737,10.0,8.0,1.732,31736.0,787
201,1770116400,2026-02-03 11:00:00+00:00,163.0,464,160.0,2903,3367,86.21918621918621,3.0,0.0,0.0,0.0,464
203,1770116400,2026-02-03 11:00:00+00:00,170.0,200,165.0,8322,8522,97.65313306735509,3.0,2.0,1.212,16644.0,200
205,1770116400,2026-02-03 11:00:00+00:00,485.0,676,483.0,14285,14961,95.48158545551769,10.0,-8.0,-1.656,-114280.0,676
207,1770116400,2026-02-03 11:00:00+00:00,5584.0,1879,5556.0,21416,23295,91.93389139300278,112.0,-84.0,-1.512,-1798944.0,1879
209,1770116400,2026-02-03 11:00:00+00:00,2683.0,679,2565.0,13301,13980,95.14306151645208,54.0,64.0,2.495,851264.0,679
211,1770116400,2026-02-03 11:00:00+00:00,2484.0,1286,2481.0,11688,12974,90.08786804377988,50.0,-47.0,-1.894,-549336.0,1286
213,1770116400,2026-02-03 11:00:00+00:00,2884.0,2009,2821.0,7806,9815,79.53132959755477,58.0,5.0,0.177,39030.0,2009
215,1770116400,2026-02-03 11:00:00+00:00,3163.0,809,3100.0,17176,17985,95.50180706144009,63.0,0.0,0.0,0.0,809
217,1770116400,2026-02-03 11:00:00+00:00,2400.0,2,2411.0,14099,14101,99.98581660875115,48.0,-59.0,-2.447,-831841.0,2
219,1770116400,2026-02-03 11:00:00+00:00,3827.0,4248,3734.0,5000,9248,54.06574394463668,77.0,16.0,0.428,80000.0,4248
221,1770116400,2026-02-03 11:00:00+00:00,4.0,35379,4.0,8480,43859,19.33468615335507,0.0,0.0,0.0,0.0,8480
223,1770116400,2026-02-03 11:00:00+00:00,186.0,765,182.0,9368,10133,92.45040955294583,4.0,0.0,0.0,0.0,765
225,1770116400,2026-02-03 11:00:00+00:00,317.0,7232,314.0,30906,38138,81.0372856468614,6.0,-3.0,-0.955,-92718.0,7232
227,1770116400,2026-02-03 11:00:00+00:00,5.0,56466,5.0,68321,124787,54.7500941604494,0.0,0.0,0.0,0.0,56466
229,1770116400,2026-02-03 11:00:00+00:00,3.0,41626,3.0,1623,43249,3.752687923420195,0.0,0.0,0.0,0.0,1623
231,1770116400,2026-02-03 11:00:00+00:00,393.0,18481,385.0,21821,40302,54.14371495211155,8.0,0.0,0.0,0.0,18481
233,1770116400,2026-02-03 11:00:00+00:00,10.0,23,,0,23,0.0,0.0,,,,0
235,1770116400,2026-02-03 11:00:00+00:00,295.0,244,295.0,220,464,47.41379310344828,6.0,-6.0,-2.034,-1320.0,220
237,1770116400,2026-02-03 11:00:00+00:00,261.0,16,255.0,2448,2464,99.35064935064936,5.0,1.0,0.392,2448.0,16
239,1770116400,2026-02-03 11:00:00+00:00,329.0,2913,322.0,6096,9009,67.66566766566766,7.0,0.0,0.0,0.0,2913
241,1770116400,2026-02-03 11:00:00+00:00,75.0,6899,65.0,562,7461,7.53250234553009,2.0,8.0,12.308,4496.0,562
243,1770116400,2026-02-03 11:00:00+00:00,,0,17.0,1,1,100.0,0.0,,,,0
245,1770116400,2026-02-03 11:00:00+00:00,948.0,849,942.0,16692,17541,95.15991106550368,19.0,-13.0,-1.38,-216996.0,849
247,1770116400,2026-02-03 11:00:00+00:00,416.0,1049,359.0,179,1228,14.576547231270359,8.0,49.0,13.649,8771.0,179
249,1770116400,2026-02-03 11:00:00+00:00,255.0,10651,240.0,1027,11678,8.79431409487926,5.0,10.0,4.167,10270.0,1027
251,1770116400,2026-02-03 11:00:00+00:00,174.0,1960,172.0,1797,3757,47.830715996805964,3.0,-1.0,-0.581,-1797.0,1797
253,1770116400,2026-02-03 11:00:00+00:00,187.0,11240,186.0,3792,15032,25.22618414050027,4.0,-3.0,-1.613,-11376.0,3792
255,1770116400,2026-02-03 11:00:00+00:00,540.0,4761,517.0,12288,17049,72.07460848143586,11.0,12.0,2.321,147456.0,4761
257,1770116400,2026-02-03 11:00:00+00:00,5631.0,2854,5610.0,13984,16838,83.05024349685236,113.0,-92.0,-1.64,-1286528.0,2854
259,1770116400,2026-02-03 11:00:00+00:00,2678.0,6279,2649.0,9104,15383,59.182214132483914,54.0,-25.0,-0.944,-227600.0,6279
261,1770116400,2026-02-03 11:00:00+00:00,2566.0,2144,2580.0,4933,7077,69.70467712307476,51.0,-65.0,-2.519,-320645.0,2144
263,1770116400,2026-02-03 11:00:00+00:00,2863.0,2839,2856.0,4213,7052,59.741917186613726,57.0,-50.0,-1.751,-210650.0,2839
265,1770116400,2026-02-03 11:00:00+00:00,3485.0,90,3415.0,3487,3577,97.48392507688007,70.0,0.0,0.0,0.0,90
267,1770116400,2026-02-03 11:00:00+00:00,2542.0,9176,2502.0,9712,18888,51.41889030072003,51.0,-11.0,-0.44,-106832.0,9176
269,1770116400,2026-02-03 11:00:00+00:00,4059.0,3179,4015.0,11089,14268,77.71937202130643,81.0,-37.0,-0.922,-410293.0,3179
272,1770116400,2026-02-03 11:00:00+00:00,1175.0,1,,0,1,0.0,24.0,,,,0
273,1770116400,2026-02-03 11:00:00+00:00,980.0,2,,0,2,0.0,20.0,,,,0
288,1770116400,2026-02-03 11:00:00+00:00,458.0,116,402.0,27,143,18.88111888111888,9.0,47.0,11.692,1269.0,27
299,1770116400,2026-02-03 11:00:00+00:00,1210.0,162,1194.0,816,978,83.43558282208589,24.0,-8.0,-0.67,-6528.0,162
301,1770116400,2026-02-03 11:00:00+00:00,299.0,11,252.0,7,18,38.88888888888889,6.0,41.0,16.27,287.0,7
303,1770116400,2026-02-03 11:00:00+00:00,160.0,154,153.0,8,162,4.938271604938271,3.0,4.0,2.614,32.0,8
305,1770116400,2026-02-03 11:00:00+00:00,10.0,16,5.0,1,17,5.88235294117647,0.0,5.0,100.0,5.0,1
307,1770116400,2026-02-03 11:00:00+00:00,10.0,146,8.0,3,149,2.013422818791946,0.0,2.0,25.0,6.0,3
309,1770116400,2026-02-03 11:00:00+00:00,99.0,12,98.0,5,17,29.411764705882355,2.0,-1.0,-1.02,-5.0,5
311,1770116400,2026-02-03 11:00:00+00:00,99.0,42,85.0,4,46,8.695652173913043,2.0,12.0,14.118,48.0,4
313,1770116400,2026-02-03 11:00:00+00:00,3.0,186990,3.0,2477,189467,1.3073516760174595,0.0,0.0,0.0,0.0,2477
314,1770116400,2026-02-03 11:00:00+00:00,3.0,886734,2.0,56043,942777,5.944459824539631,0.0,1.0,50.0,56043.0,56043
315,1770116400,2026-02-03 11:00:00+00:00,30.0,14,30.0,68,82,82.92682926829268,1.0,-1.0,-3.333,-68.0,14
317,1770116400,2026-02-03 11:00:00+00:00,34.0,151,35.0,2264,2415,93.74741200828157,1.0,-2.0,-5.714,-4528.0,151
319,1770116400,2026-02-03 11:00:00+00:00,,0,57.0,318,318,100.0,0.0,,,,0
321,1770116400,2026-02-03 11:00:00+00:00,32.0,1190,28.0,898,2088,43.00766283524904,1.0,3.0,10.714,2694.0,898
325,1770116400,2026-02-03 11:00:00+00:00,42.0,866,30.0,87,953,9.12906610703043,1.0,11.0,36.667,957.0,87
327,1770116400,2026-02-03 11:00:00+00:00,56.0,1327,50.0,1290,2617,49.293083683607186,1.0,5.0,10.0,6450.0,1290
329,1770116400,2026-02-03 11:00:00+00:00,58.0,1216,54.0,5098,6314,80.7412100095027,1.0,3.0,5.556,15294.0,1216
331,1770116400,2026-02-03 11:00:00+00:00,73.0,11255,69.0,322,11577,2.781376867927788,1.0,3.0,4.348,966.0,322
333,1770116400,2026-02-03 11:00:00+00:00,34.0,6251,31.0,4168,10419,40.00383914003263,1.0,2.0,6.452,8336.0,4168
335,1770116400,2026-02-03 11:00:00+00:00,77.0,3777,70.0,18987,22764,83.40801265155508,2.0,5.0,7.143,94935.0,3777
339,1770116400,2026-02-03 11:00:00+00:00,,0,32.0,181,181,100.0,0.0,,,,0
341,1770116400,2026-02-03 11:00:00+00:00,66.0,29,33.0,14,43,32.55813953488372,1.0,32.0,96.97,448.0,14
345,1770116400,2026-02-03 11:00:00+00:00,65.0,1262,59.0,70,1332,5.255255255255255,1.0,5.0,8.475,350.0,70
347,1770116400,2026-02-03 11:00:00+00:00,227.0,791,104.0,397,1188,33.417508417508415,5.0,118.0,113.462,46846.0,397
349,1770116400,2026-02-03 11:00:00+00:00,153.0,1224,138.0,377,1601,23.54778263585259,3.0,12.0,8.696,4524.0,377
351,1770116400,2026-02-03 11:00:00+00:00,212.0,654,209.0,100,754,13.262599469496022,4.0,-1.0,-0.478,-100.0,100
353,1770116400,2026-02-03 11:00:00+00:00,22.0,115,20.0,74,189,39.15343915343915,0.0,2.0,10.0,148.0,74
355,1770116400,2026-02-03 11:00:00+00:00,33.0,10,32.0,25,35,71.42857142857143,1.0,0.0,0.0,0.0,10
359,1770116400,2026-02-03 11:00:00+00:00,79.0,9273,75.0,3623,12896,28.09398263027295,2.0,2.0,2.667,7246.0,3623
